,ticker,periodOfReport,linkToFilingDetails,formType,cik
124,FANG,2015-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000090/q32015diamondback10-qa.htm,10-Q/A,1539838
125,FANG,2015-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000071/q32015diamondback10-q.htm,10-Q,1539838
126,FANG,2015-06-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000037/a6301510-q.htm,10-Q,1539838
127,FANG,2015-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000015/a3311510-q.htm,10-Q,1539838
128,FANG,2014-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983814000115/a9301410-q.htm,10-Q,1539838
129,FANG,2014-06-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983814000081/a6301410-q.htm,10-Q,1539838
130,FANG,2014-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983814000058/q12014diamondback10-qa.htm,10-Q/A,1539838
131,FANG,2014-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983814000054/a3311410-q.htm,10-Q,1539838
132,FANG,2013-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983813000093/a9301310-q.htm,10-Q,1539838
133,FANG,2013-06-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983813000053/a6301310-q.htm,10-Q,1539838
134,FANG,2013-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983813000029/a3311310-q.htm,10-Q,1539838
135,FANG,2012-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983812000006/a10-qadiamonbackenergyinc.htm,10-Q/A,1539838
136,FANG,2012-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983812000004/a9301210-q.htm,10-Q,1539838
137,MRO,2022-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177822000118/mro-20220331.htm,10-Q,101778
138,MRO,2021-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177821000109/mro-20210930.htm,10-Q,101778
139,MRO,2021-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177821000099/mro-20210630.htm,10-Q,101778
140,MRO,2021-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177821000083/mro-20210331.htm,10-Q,101778
141,MRO,2020-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177820000111/mro-20200930.htm,10-Q,101778
142,MRO,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177820000103/mro-20200630.htm,10-Q,101778
143,MRO,2020-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177820000081/mro-2020331x10q.htm,10-Q,101778
144,MRO,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177819000113/mro-20190930x10q.htm,10-Q,101778
145,MRO,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177819000093/mro-20190630x10q.htm,10-Q,101778
146,MRO,2019-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177819000070/mro-20190331x10q.htm,10-Q,101778
147,MRO,2018-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177818000118/mro-20180930x10q.htm,10-Q,101778
148,MRO,2018-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177818000107/mro-20180630x10q.htm,10-Q,101778
149,MRO,2018-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177818000091/mro-20180331x10q.htm,10-Q,101778
150,MRO,2017-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177817000121/mro-20170930x10q.htm,10-Q,101778
151,MRO,2017-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177817000108/mro-20170630x10q.htm,10-Q,101778
152,MRO,2017-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177817000078/mro-20170331x10q.htm,10-Q,101778
153,MRO,2016-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177816000103/mro-20160930x10q.htm,10-Q,101778
154,MRO,2016-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177816000079/mro-20160630x10q.htm,10-Q,101778
155,MRO,2016-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177816000067/mro-20160331x10q.htm,10-Q,101778
156,MRO,2015-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177815000038/mro-20150930x10q.htm,10-Q,101778
157,MRO,2015-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177815000026/mro-20150630x10q.htm,10-Q,101778
158,MRO,2015-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177815000016/mro-20150331x10q.htm,10-Q,101778
159,MRO,2014-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177814000078/mro-2014930x10q.htm,10-Q,101778
160,MRO,2014-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177814000060/mro-2014630x10qa.htm,10-Q/A,101778
161,MRO,2014-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177814000054/mro-2014630x10q.htm,10-Q,101778
